1282126422119718920,@abc7breaking I guess #WuhanVirus #Kungfluvirus isn’t a big deal in El Paso!,WuhanVirus Kungfluvirus,en,Sun Jul 12 01:35:34 +0000 2020,3250276110,American for Freedom!,,,,"East El Paso, TX"
1282127535837339648,"Watch ""The story of a 'long-haul' COVID-19 sufferer | Coronavirus | COVID-19 Symptoms | Health News"" on YouTube - https://t.co/JmJGXnil90
#CCPVirus",CCPVirus,en,Sun Jul 12 01:39:59 +0000 2020,2413785764,#Brave #MarlisaxMarkus,,,,
1282127554246135808,"Watch ""The story of a 'long-haul' COVID-19 sufferer | Coronavirus | COVID-19 Symptoms | Health News"" on YouTube - https://t.co/Sep35nW2Je
#CCPVirus",CCPVirus,en,Sun Jul 12 01:40:04 +0000 2020,765554671188451328,MetroSuite,,,,National Capital Region
1282127555915472897,"Watch ""The story of a 'long-haul' COVID-19 sufferer | Coronavirus | COVID-19 Symptoms | Health News"" on YouTube - https://t.co/r3HsCq2nsy
#CCPVirus",CCPVirus,en,Sun Jul 12 01:40:04 +0000 2020,742677787165659137,CondoSharing,,,,National Capital Region
1282128648674385925,"Multiple California authorities say they won't enforce Governor Newsom's statewide mask mandate
https://t.co/Rf4gIUtJ4H
23 Jun 2020

Sacramento County
Orange County
Calaveras County
Angels Camp

#CoronaVirus #WuhanVirus #COVID19 #CCPVirus

qt-covid19-news-527 by #BorderObserver",CoronaVirus WuhanVirus COVID19 CCPVirus BorderObserver,en,Sun Jul 12 01:44:25 +0000 2020,865823924805914624,CoVid19 automatic statistics,,,,United States
1282128765577904134,RT @CanadaHimalaya: 📢🇬🇧邮报独家专访 #班农 先生： “联邦调查局正就 #中共病毒 泄露事件向英雄科学家求证......因为她打破了沉默” #中共病毒 #CCPVirus #COVID19 @MoS_Politics https://t.co/6LYzIa…,班农 中共病毒 中共病毒 CCPVirus COVID19,zh,Sun Jul 12 01:44:53 +0000 2020,1260863472059011073,小蜗牛,,,,"Florida, USA"
1282128814470905861,"As of 11/7/2020 00:00

Confirmed       21129 (+430)
　Hospitalized  2298 (+220)
　Discharged    17849 (+197)
　Death         982 (+0)

Excluding Diamond Princess cruise ship

https://t.co/8DxtfiJYZH

#COVID19 #Covid_19 #coronavirus #coronavirusjapan",COVID19 Covid_19 coronavirus coronavirusjapan,en,Sun Jul 12 01:45:04 +0000 2020,1250238270706872320,Situation of Coronavirus in Japan,,,,japan
1282129150719823872,@li_xiaosi Let’s start with sharing the National Security Law draft details ? Or Tiananmen Square Massacare or explaining the concentration camp for Uighur and their forced sterilisation?  #CCPLiedPeopleDied #Uyghurs #Chinese #NationalSecurityLaw #StandWithHongKong #WuhanVirus #CCPVirus https://t.co/H26C5L4uC7,CCPLiedPeopleDied Uyghurs Chinese NationalSecurityLaw StandWithHongKong WuhanVirus CCPVirus,en,Sun Jul 12 01:46:24 +0000 2020,1030330673104662528,Arjun Puri,,,,India
1282129615201300481,"#COVID19 #Whistleblower
#ChinaLiedPeopleDied
#ChinaMustPay #China https://t.co/v91A3T1P0f",COVID19 Whistleblower ChinaLiedPeopleDied ChinaMustPay China,und,Sun Jul 12 01:48:15 +0000 2020,66417805,Ajay Chopra,,,,New Delhi
1282130051526348807,"The CCP has concealed the coronavirus and killed hundreds of thousands of people.  Even your loved ones... Never forgive.
#coronavirus #coronavirus #COVID19 #COVID19 #CCP_is_terrorist #CCPVirus #CCPLiedPeopleDied https://t.co/jqixpUz5nw",coronavirus coronavirus COVID19 COVID19 CCP_is_terrorist CCPVirus CCPLiedPeopleDied,en,Sun Jul 12 01:49:59 +0000 2020,1211023167176622081,484丁目住人,,,,Japan
1282130130236698625,RT @VOCRadioRobDoc: @Inevitable_ET No the true trends. #COVID__19 #covid19 #coronavirus #ChinaVirus #Kungfluvirus https://t.co/1nCKLr6hxn,COVID__19 covid19 coronavirus ChinaVirus Kungfluvirus,en,Sun Jul 12 01:50:18 +0000 2020,1172275165524385798,Isa58woman,,,,"San Diego, CA"
1282131591058337792,"#WuhanVirus 
#ChinaLiedPeopleDied https://t.co/TYI1cVyKh5",WuhanVirus ChinaLiedPeopleDied,und,Sun Jul 12 01:56:06 +0000 2020,4837091512,car_no,,,,Canada
1282134643865600000,"@AnneChaAsia Thanks so much for France for standing with HongKongers!
Grateful for your lovely heart.
We need to support from other democracies to demolish the authoritarian regime of the Chan (Xi Jinping).#CCP_is_terrorist 
Stay healthy together!#WuhanVirus
Bless you all! https://t.co/Pdz3tnCaDd",CCP_is_terrorist WuhanVirus,en,Sun Jul 12 02:08:14 +0000 2020,1266633319946416128,Stacy Fung,,,,"Liberate HK, Revolution Now"
1282135439508336641,#ChinaLiedPeopleDied https://t.co/iHLP64tUXN,ChinaLiedPeopleDied,und,Sun Jul 12 02:11:24 +0000 2020,738100198975627264,Amie Smith Schlaud,,,,"Michigan, USA"
1282136998392655873,"EXCLUSIVE: Chinese virologist accuses Beijing of coronavirus cover-up, flees Hong Kong: 'I know how they treat whistleblowers'

https://t.co/dSQuZ16LwT

#CCPVirus #AntiChinazi #CCP_is_terrorist #CCPLiedPeopleDied #AllLivesMatter 

#StandWithHongKong",CCPVirus AntiChinazi CCP_is_terrorist CCPLiedPeopleDied AllLivesMatter StandWithHongKong,en,Sun Jul 12 02:17:36 +0000 2020,2833371852,LSMing,,,,Taiwan
1282137454942846976,I got goosebumps as soon as I read your post! Feels like he’s someone from my family or a  closer friend #CCP_is_terrorist https://t.co/n5aynzgq34,CCP_is_terrorist,en,Sun Jul 12 02:19:24 +0000 2020,1051620090586849280,Kingofalltrades,,,,Best city in the universe 
1282138711921131521,"#LocalPropaganda
Music rings out in Mexico City as 200 mariachis turn out to play
https://t.co/EIE9WZiLs4
22 Jun 2020

#QUOTE hey also received care packages handed out by a charity.

#CoronaVirus #WuhanVirus #COVID19 #CCPVirus

qt-covid19-news-528 by #BorderObserver",LocalPropaganda QUOTE CoronaVirus WuhanVirus COVID19 CCPVirus BorderObserver,en,Sun Jul 12 02:24:24 +0000 2020,865823924805914624,CoVid19 automatic statistics,,,,United States
1282140060876288000,"“‘Americans can be detained without access to consular services or information about their alleged crime,’ the State Department warned amid tensions between Beijing and Washington over Hong Kong, the Uighurs and the coronavirus.” #CCP_is_terrorist https://t.co/CCtYrQwqjT",CCP_is_terrorist,en,Sun Jul 12 02:29:46 +0000 2020,733290917222748160,Ted J. Silberstein 🇺🇸 🌲🌲,,,,"Pacific Coast, USA"
1282141229178904576,"#LocalPropaganda
Texas judge: Irate man smacked his hand over facemask appeal
https://t.co/u62EbW2XZN
24 Jun 2020

#QUOTE  The man smacked the card out of (Judge) Wolff?s hand and left. 

#CoronaVirus #WuhanVirus #COVID19 #CCPVirus

qt-covid19-news-529 by #BorderObserver",LocalPropaganda QUOTE CoronaVirus WuhanVirus COVID19 CCPVirus BorderObserver,en,Sun Jul 12 02:34:24 +0000 2020,865823924805914624,CoVid19 automatic statistics,,,,United States
1282141367402205186,#CCPVirus #DecoupleChina #AmericaFirst https://t.co/eUucbxuO7G,CCPVirus DecoupleChina AmericaFirst,und,Sun Jul 12 02:34:57 +0000 2020,109849883,Phyllis Schlafly Eagles,,,,"St. Louis, MO"
1282141964155027457,RT @PhyllisSchlafly: #CCPVirus #DecoupleChina #AmericaFirst,CCPVirus DecoupleChina AmericaFirst,und,Sun Jul 12 02:37:19 +0000 2020,2937602114,PinkElephant,,,,USA
1282141985642618881,RT @PhyllisSchlafly: #CCPVirus #DecoupleChina #AmericaFirst,CCPVirus DecoupleChina AmericaFirst,und,Sun Jul 12 02:37:25 +0000 2020,148481568,BetterBusinessBudget,,,,"Atlanta, GA"
1282142219475050496,"Over 3,500 #COVID19 deaths this week reported by the @CDCgov were from March &amp; April... and to say we don’t have a deep state.  #CCPVirus #ChinaVirus @AlexBerenson https://t.co/RwuoPZJT47",COVID19 CCPVirus ChinaVirus,en,Sun Jul 12 02:38:20 +0000 2020,25925236,Darrick Wilkins,,,,"Atlanta, GA"
1282143315622846466,"@JasonMillerinDC And... over 3,500 of the #COVID19 deaths this week reported by the @CDCgov were from March &amp; April... and to say we don’t have a #DeepState.   #CCPVirus #ChinaVirus @AlexBerenson https://t.co/JNaBuD0B4l",COVID19 DeepState CCPVirus ChinaVirus,en,Sun Jul 12 02:42:42 +0000 2020,25925236,Darrick Wilkins,,,,"Atlanta, GA"
1282143629981765634,RT @PhyllisSchlafly: #CCPVirus #DecoupleChina #AmericaFirst,CCPVirus DecoupleChina AmericaFirst,und,Sun Jul 12 02:43:57 +0000 2020,33966598,Roderick Saxey,,,,"Washington, USA"
