id,score,full_text,created_at,user_sn,follower_count,rt_count,fv_count,longitude,latitude,location,user_location
1273963724622180352,1,"With Greenville leading in new cases it’s astonishing the degree of xenophobia and ignorance that I see around this city. People complaining that “this isn’t China so why do they need to wear a mask” or blaming the Latin community for spreading the virus.

https://t.co/fqaVQAXdML",Fri Jun 19 12:59:55 +0000 2020,Bromswell,66,0,0,,,,"Atlanta, Georgia"
1273963817148481536,1,"Pompeo is a liar, an inflated ego,  unfit for his position. 

Pompeo sold 18 TONS of PPE to China early February. 

US remains undersupplied  on PPE , with the worst shortages in minority communities.  https://t.co/d1y7U1WdXb",Fri Jun 19 13:00:17 +0000 2020,PartyofCoup,194,0,0,,,,
1273963952364535809,1,ICYMI: The Philippine government has called for cooperation between the Association of Southeast Asian Nations (Asean) and Russia in addressing the challenges posed by the coronavirus disease 2019 (Covid-19) crisis in the region. https://t.co/af7lFAkjVQ,Fri Jun 19 13:00:50 +0000 2020,PCInewsofficial,168,0,0,,,,"Vancouver, British Columbia"
1273964015761321985,1,"@wangchungbhosda What a pride is Modi for India..
China will have to pay for Covid Murders and now Murders of Indian Soldiers.",Fri Jun 19 13:01:05 +0000 2020,chowkidar_first,33,0,0,,,,
1273964060804071424,1,"@sammant73529867 @Reuters China doesn’t run India @narendramodi does so he is solely responsible for the poor covid response, police brutality , poor healthcare, hunger, poverty and lack of transparency. SO GO AND TROLL SOMEWHERE ELSE! UR SPREADING PROPAGANDA TO DEFLECT OF MODI!",Fri Jun 19 13:01:15 +0000 2020,tinytim95491820,11,0,0,,,,
1273964072875114496,3,"@SkyNews This is ""biological deadly weapons Wuhan viruses"" by d MOST RUBBISHES +
TERRORISTS +
KILLERS+
DICTATORSHIP+
EVIL ccp china mainland communist party
🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕🖕💀💀💀💀💀💀💀💀💀💀💀👿👿👿👿👿👿👿👿👿👿👿👿👿👿👹👹👹👹👹👹👹👹👹👹👹👹..... https://t.co/NMCvA35gP6",Fri Jun 19 13:01:18 +0000 2020,LVT_Grp,8,0,0,,,,B Xperience More Amazing In TH
1273964149769490434,1,"@MattRinaldiTX 🤔Are these the cities that mandated masks?  Respiratory issues (Cat: Covid) from long-term mask usage?  Lots of discussions about inhaled fiberglass particles from cheap masks from China.   ...or, something totally different?",Fri Jun 19 13:01:37 +0000 2020,JYakburger,124,0,0,,,,"Texas, USA"
1273964251745378304,2,@cnEpxXNceB15izF @news_ntd @jenniferatntd You #ChineseVirus ....Are U still taking Bat Soup..You #CCP ..,Fri Jun 19 13:02:01 +0000 2020,sunjoyksingh,329,0,0,,,,Delhi
1273964295965962240,3,"Where did the Chinese virus originate? China

Who silenced whistleblowers? China

Who tried to cover it up? China

Who lied to  world about the outbreak? China

Who refused help to contain the virus? China

Who infected the world? China

#JunkOneChina",Fri Jun 19 13:02:11 +0000 2020,kailashHpandey,400,0,0,72.87424399999998,19.174139999999998,"Mumbai, India, India","Mulund West, Mumbai"
1273964299673886721,2,"@BlakeleyBartley @tedcruz Why was there unemployment?....
CCPV? Mayors-Gov's shutting down cities and states? 
Fear Porn? 
How is that Trump's fault? 
How did he botch the response?...we listened to the WHO and CDC...they lied and screwed up! 
Who has he asked for help to cheat? 
My word, check yourself!",Fri Jun 19 13:02:12 +0000 2020,TabWinn4Him,10794,0,1,,,,"Kansas City, MO"
1273964365834641409,1,"@globaltimesnews #husays we know everything.. china origin of corona , country of greed. You better watch your politician to shut down all fucking things.. my direct worning to you china.. you all are going to face hard fuck time in your entire lifetime. https://t.co/xOEHGxkXo4",Fri Jun 19 13:02:28 +0000 2020,ownerofomegaray,9,0,0,,,,
1273964429365805057,4,"@wang06614729 @ShaonanJ @allen15089529 @Bela___19 @HuXijin_GT U dnt worry , worry abt urself where crores of citizen's died frm corona .

Huge unrest in tibet , hongkong .

Chhee Xinping own party fighting over his lifetime appointment .

Yuingar muslims are treated as 3rd class citizens .

First see urself moron bat soup
Corona virus china",Fri Jun 19 13:02:43 +0000 2020,chirkut_ji,11,0,0,,,,"New Delhi, India"
