id,score,full_text,created_at,user_sn,follower_count,rt_count,fv_count,longitude,latitude,location,user_location
1284639217377845248,1,"Antibody research shows promise in fight against COVID-19 from antibodies that were isolated from the blood of a couple from Wuhan, China.
https://t.co/W3cwMHFyBs
#COVID #coronavirus #diseases #Antibodies #testing #syndromes #medicine #China #USA #NorthAmerica #Wuhan",Sun Jul 19 00:00:31 +0000 2020,DIEBO37,665,7,17,,,,United States -Boston 
1284639884309860352,1,"@realDonaldTrump IN GOD🕊WE TRUST⚖️🇺🇸🙏🏻

YOUR EGO GOT IN THE WAY MR.TRUMP
OR WHO IS IN CHARGE SR.❓👇🏻

👉🏻1)”Jan. 5, “The WHO reported a ""pneumonia of unknown cause"" in Wuhan, China.
“The health organization advised against restrictions to China:”👈🏻
https://t.co/sGbJPK9n8T",Sun Jul 19 00:03:10 +0000 2020,mrangelbabyGOD,111,0,0,,,,
1284639946456825856,1,"@realDonaldTrump IN GOD🕊WE TRUST⚖️🇺🇸🙏🏻

YOUR EGO GOT IN THE WAY MR.TRUMP
OR WHO IS IN CHARGE SR.❓👇🏻

👉🏻2)”WHO advises against the application of any travel or trade restrictions on China based on the current information available on this event.""👈🏻
https://t.co/sGbJPK9n8T",Sun Jul 19 00:03:25 +0000 2020,mrangelbabyGOD,111,0,0,,,,
1284639954644025344,2,"@Forbes FOX EXCLUSIVE: Hong Kong virologist from World Top Coronavirus Lab claiming coronavirus cover-up: 'We don't have much time'#CCPVirus #CCPLiedPeopleLied
https://t.co/BV6k44opOR",Sun Jul 19 00:03:27 +0000 2020,DaLi94877447,104,0,0,,,,
1284640047883595777,2,"@BoSnerdley @tedcruz The Red Chinese unleashing of the Coronavirus have effectively declared war on America resulting in about 140,000 innocent American fatalities. Retreat if you agree",Sun Jul 19 00:03:49 +0000 2020,JulioJove2,20,1,1,,,,
1284640415891808262,1,"Chinese virologist who fled to US vows to spill ALL coronavirus secrets after claiming cover-up
#ChinaLiedPeopleDied turns out to be the TRUTH.
They knew in December that there was Human 2 Human transmission https://t.co/EHqqNAk6KZ",Sun Jul 19 00:05:17 +0000 2020,MarkInNorthWest,2674,9,13,,,,"Manchester, England"
1284640457964900352,1,"@Reuters ""We don't have too much time left!"" Wakeup and focus on the virus! Mankind is in great danger because of this CCP Bio weapon!
Do not expect for herd immunity and vaccine under current situation.
Terminate CCP to stop the covid virus!
https://t.co/r8TTs1171V",Sun Jul 19 00:05:27 +0000 2020,R60848444,26,0,0,,,,
1284640491749990401,1,"@RepMichaelWaltz @Olympics @SenRickScott ""We don't have too much time left!"" Wakeup and focus on the virus! Mankind is in great danger because of this CCP Bio weapon!
Do not expect for herd immunity and vaccine under current situation.
Terminate CCP to stop the covid virus!
https://t.co/r8TTs1171V",Sun Jul 19 00:05:35 +0000 2020,R60848444,26,0,0,,,,
1284640664567808002,1,"#Urumqi is not in China, it is CCP-occupied East Turkestan where the regime is currently committing a #genocide of the local population. https://t.co/H6dldhIF1s",Sun Jul 19 00:06:16 +0000 2020,spotlight_china,44,0,0,,,,
1284640674026061828,1,"@AVoiceNews ""We don't have too much time left!"" Wakeup and focus on the virus! Mankind is in great danger because of this CCP Bio weapon!
Do not expect for herd immunity and vaccine under current situation.
Terminate CCP to stop the covid virus!
https://t.co/r8TTs1171V",Sun Jul 19 00:06:18 +0000 2020,R60848444,26,1,1,,,,
1284640785812652036,1,"@BBCWorld ""We don't have too much time left!"" Wakeup and focus on the virus! Mankind is in great danger because of this CCP Bio weapon!
Do not expect for herd immunity and vaccine under current situation.
Terminate CCP to stop the covid virus!
https://t.co/r8TTs1171V",Sun Jul 19 00:06:45 +0000 2020,R60848444,26,0,0,,,,
