id,score,full_text,created_at,user_sn,follower_count,rt_count,fv_count,longitude,latitude,location,user_location
1247435116500180992,2,"No New covid 19 case in China? Well, this is why China will again cause new viral outbreaks in future. 

It lies.

It lies and by-passes the transparency. I am sorry for Chinese. That government will cause more and more trouble to the world. Sanctions now.
@LindseyGrahamSC",Tue Apr 07 08:04:42 +0000 2020,heroglu001,81,0,0,,,,
1247435121176838147,1,Indonesia warned to be on guard for anti-Chinese terrorism amid #coronavirus outbreak https://t.co/ftQ004jAgI By @1AmyChew,Tue Apr 07 08:04:43 +0000 2020,SCMPAsia,2226,0,0,,,,Hong Kong
1247435158657138689,1,"@Iromg Meanwhile, the rest of the world dies. China should hang their heads in shame. There simply must be repercussions for #China when this is over.

#China #ChinaLiedPeopleDie #coronavirusuk #coronavirus",Tue Apr 07 08:04:52 +0000 2020,TimJSL,220,0,0,,,,United Kingdom
1247435163350556672,1,"@Matt_Clough @wildstonedamian @piersmorgan @GMB Pffft, must be the same for italy, France, Spain, China, Germany. You see thats the problem, people want somebody to blame all the time rather than except this is a horrible virus that we know nothing about, the government put control measures in place but nobody listened,",Tue Apr 07 08:04:53 +0000 2020,winnbentley,19,0,0,,,,
1247435163417509890,1,@Bobby44562471 @rthk_enews Everyone trusts the USD for good reason. Nobody trusts RMB. They do business with China thru the USD. The Euro is not trustworthy because EU is not a unified polity. All other currencies are too small in scale.,Tue Apr 07 08:04:53 +0000 2020,Oca20741,85,0,0,,,,
1247435272905777153,1,NMA should go on strike. China cannot be trusted at this point. https://t.co/MAYthGq3bD,Tue Apr 07 08:05:19 +0000 2020,Royal_dadd,3538,2,1,,,,Heaven
1247435326227984386,1,@willchamberlain Trade deal was signed after China knew they had unleashed a Pandemic on the World and they were lying about its contagiousness. Is that fraud?,Tue Apr 07 08:05:32 +0000 2020,DediFredericks,243,0,0,,,,
1247435334628986881,1,"The vicious pollen in Beijing has to be experienced to be believed. The city’s meteorological service even measures pollen levels, along with temperature, rainfall and — China’s other silent killer — air pollution.
https://t.co/jSy3mjnqy7",Tue Apr 07 08:05:34 +0000 2020,australian,727490,9,14,,,,"Sydney, Australia"
1247435339079319558,2,"The Prime Minister of the United Kingdom is in intensive care with a life threatening virus that was first identified in China, the Chinese Government lied about it the WHO compounded that deceit.",Tue Apr 07 08:05:35 +0000 2020,Lescromps,2273,0,1,,,,"Portsmouth, England"
1247435343294423040,1,"This is the reason Bengal Numbers are so low . 
Don't trust the numbers of Mini-China and Mini-Bangladesh in India . https://t.co/aals8PhhKD",Tue Apr 07 08:05:36 +0000 2020,Bharat_Putra,8459,8,4,,,,
