id,score,full_text,created_at,user_sn,follower_count,rt_count,fv_count,longitude,latitude,location,user_location
1256963736537051136,1,"Who else are we to blame this is a b.s. article - tell me where did the coronavirus start you 
China -! https://t.co/evIfFHmf9E",Sun May 03 15:08:02 +0000 2020,eddgimenez,1364,0,0,,,,"Port St Joe, & Jacksonville Fl"
1256963778341634048,2,Julius has been paid a fat cheque to continue the fear mongering agenda and the attempts to collapse the world economy in favour of China by the Globalists.. He is a Jackal and a Lamb two faced very dangerous! https://t.co/y313WtOnjs,Sun May 03 15:08:12 +0000 2020,Photo_sWorld,371,0,0,24.669943300000003,-28.47948520000001,"South Africa, South Africa","Cape Town, South Africa"
1256963866728165376,2,"@AFP I don't think the news is ""breaking."" In February a Chinese scholar already wrote that bats were unlikely to be found in the seafood market and Wuhan people did not eat bats.

https://t.co/H0pMGPy1S3",Sun May 03 15:08:33 +0000 2020,WONG_Kin_Cheong,91,2,5,,,,Hong Kong
1256963934436892673,1,still thinking abt that mf blaming 127 bc wayv didnt release a new album in china while the country was on lockdown,Sun May 03 15:08:49 +0000 2020,jyandoie,524,0,0,,,,only nct + wayv ♡
1256963954842230784,1,"#leadership #Management #DigitalTransformation
#COVID19
#MeaningfulGrowth #GeniouxMG
Extracted from @nytimes: 

Global Backlash Builds Against China Over #Coronavirus

As calls for inquiries and reparations spread, Beijing has responded aggressively, mixing threats with aid and",Sun May 03 15:08:54 +0000 2020,gfernandoamb,7948,0,0,,,,Florida
1256963959623766023,1,"and mixing demands for gratitude with economic threats. 

The result has only added momentum to the blowback and the growing mistrust of China in Europe and Africa, undermining China’s desired image as a generous global actor.
https://t.co/mvJNxgAQfS",Sun May 03 15:08:55 +0000 2020,gfernandoamb,7948,0,0,,,,Florida
1256963980003733504,3,"Signed and support.

China lied, people died, and #CCP must pay. https://t.co/QsJCD2lXnM",Sun May 03 15:09:00 +0000 2020,5parisN,338,0,0,,,,
1256964025746960386,2,"The rise in racism  against people of Chinese origin is deplorable. 3869 people died in Wuhan due to COVID-19. Remember, we are all in this together. Cc ⁦@FareedZakaria⁩ ⁦@CNNPolitics⁩ ⁦ https://t.co/qPSksrpbr3",Sun May 03 15:09:11 +0000 2020,keithmartinmd,7406,0,0,,,,"Washington, DC"
1256964046923927556,1,China’s Coronavirus Cover-Up Rips Pages From Soviet Chernobyl Playbook: Report https://t.co/uD8ELrQHq5,Sun May 03 15:09:16 +0000 2020,KoosCarolyn,169,0,0,,,,"New York, NY"
1256964055828279296,2,The cover up of the Corona virus by the Chinese Communist party.   https://t.co/UWuSC93MQZ,Sun May 03 15:09:18 +0000 2020,BrendanJAQuinn,2471,0,0,,,,Australia
1256964094101458946,2,"It states that to the “endangerment of other countries” the Chinese government covered-up news of the virus by silencing or “disappearing” doctors who spoke out, destroying evidence of it in laboratories and refusing to provide live samples... 

https://t.co/34IT63docU",Sun May 03 15:09:27 +0000 2020,___adrienne___,495,0,0,,,,"Screwston, TX"
1256964106029920257,1,@BryonyKarasek1 @realDonaldTrump Where was Obama when Otto was arrested by Kim? Are you going to blame China for Covid-19 or is it Orange man bad again?,Sun May 03 15:09:30 +0000 2020,lediju6,14,0,0,,,,
1256964139337031680,2,"One word China will be Trumps scape goat !
But that is only cover up he has since he was told back in November there was a threat coming in the form of a virus and He Trump ignored the the warning shot across the bow!
Covid 19 deaths were preventable his ignorance costing lives ! https://t.co/q1Ks6bYTK2 https://t.co/LrRkBDO29a",Sun May 03 15:09:38 +0000 2020,donal6056,2238,0,0,,,,"New Hampshire, USA"
1256964185789009920,1,Coronavirus US live: Pompeo claims 'significant evidence' virus came from China lab https://t.co/ajRG2pr9wL,Sun May 03 15:09:49 +0000 2020,guardiannews,3353546,22,46,,,,
1256964198707482624,2,China didn’t have to genetically engineer COVID. They could just lock thousands of Uighurs in rooms with different bats and then extract virus from the bodies of those who died of the most interesting symptoms.,Sun May 03 15:09:52 +0000 2020,Boomieleaks,26794,2,27,,,,Twitter Flow State
1256964323831939073,1,"@CapitalPockets @limebalz1 @ByMikeBaker Why is it racist to call covid19 "" The Chinese Flu""? Isn't that where it came from?",Sun May 03 15:10:22 +0000 2020,dextersmom40,27,0,0,,,,"St Louis, MO"
1256964412390273024,1,@LanceSizemore13 @graceloum @AFP The other side was coming from Saddam Hussein. History repeats itself. This administration is looking for anything to start a war with China because its threatening to overtake us economically. That’s why WW1 started. Germany overtook England. This has nothing to do with corona,Sun May 03 15:10:43 +0000 2020,JacobinGiolas,131,1,5,,,,
1256964466689757184,1,"“Sect State Mike Pompeo said “enormous evidence” exists that the coronavirus began in a laboratory in Wuhan, China, and he accused the government in Beijing of covering up what happened.” (What the World does next could mean WW3.) https://t.co/r6blflSOBq https://t.co/Fd4byybAQZ",Sun May 03 15:10:56 +0000 2020,67tiger3,1966,1,2,,,,"Californication, USA "
1256964470422802441,1,Intelligence Report Details How China Covered Up Coronavirus Outbreak https://t.co/mRqQSKduDF via @BreitbartNews,Sun May 03 15:10:57 +0000 2020,RNelson1994,5221,0,0,,,,"Covfefe, USA"
1256964486768078849,1,"Leaked Intel Dossier Exposes China's Plot to Deceive the World on Coronavirus -
https://t.co/PyPLvQDyxu ✅
Via - @NeonNettle
#NeonNettle",Sun May 03 15:11:01 +0000 2020,LisaEhome,346,0,0,,,,
1256964487841632258,1,"@JasonTheBoyyo @tfrederick1118 @the_resistor @realDonaldTrump I love how people like you use the Flu’s YEARLY data to compare to the corona virus TWO MONTHS of data. 1,700 people died yesterday alone. And if you try to argue that trumps China banned saved lives you deserve to be smacked. Do more research child, you’re in Canada. Stay there.",Sun May 03 15:11:01 +0000 2020,anonymouslyhack,20,0,0,,,,
1256964500403691527,2,"@SandDollar04 @DonaldJTrumpJr @realDonaldTrump Are you kidding me, how could he see it coming it way invisible. Seriously he was told lies from “The Communist China Regime” with the biggest one being “THIS VIRUS IS NOT CONTAGIOUS OR CONTAMINATED IN ANY WAY”.",Sun May 03 15:11:04 +0000 2020,rayramis,48,0,7,,,,"Massachusetts, USA"
1256964701478457351,1,Once again someone else other than Pres stepping up to fix broken food supply. What the F***is this Pres doing?! Just ‘signing’ orders &amp; blaming China-good work! @CNBC @CBSNews @FoxNewsSunday #MakeAmericaGreatAgain @GOP @uscongress00 #coronavirus #covid19 https://t.co/eSHyrHdhd8,Sun May 03 15:11:52 +0000 2020,m_sanchez11,54,0,0,,,,"California, USA"
